m.name,n
hsa-miR-423-5p,2
hsa-miR-4255,2
hsa-miR-4270,2
hsa-miR-4271,2
hsa-miR-429,2
hsa-miR-4307,2
hsa-miR-432-5p,2
hsa-miR-4329,2
hsa-miR-448,2
hsa-miR-4495,2
hsa-miR-449a,2
hsa-miR-449b-5p,2
hsa-miR-455-5p,2
hsa-miR-4666a-3p,2
hsa-miR-486-3p,2
hsa-miR-488-5p,2
hsa-miR-496,2
hsa-miR-497-5p,2
hsa-miR-500a-5p,2
hsa-miR-501-3p,2
hsa-miR-502-3p,2
hsa-miR-503-5p,2
hsa-miR-504-5p,2
hsa-miR-5096,2
hsa-miR-510-5p,2
hsa-miR-513c-5p,2
hsa-miR-515-3p,2
hsa-miR-516b-5p,2
hsa-miR-519a-3p,2
hsa-miR-519b-3p,2
hsa-miR-532-5p,2
hsa-miR-539-5p,2
hsa-miR-541-3p,2
hsa-miR-541-5p,2
hsa-miR-542-3p,2
hsa-miR-543,2
hsa-miR-548am-5p,2
hsa-miR-548d-3p,2
hsa-miR-548g-3p,2
hsa-miR-548o-5p,2
hsa-miR-550a-3p,2
hsa-miR-554,2
hsa-miR-556-3p,2
hsa-miR-570-3p,2
hsa-miR-573,2
hsa-miR-575,2
hsa-miR-576-3p,2
hsa-miR-578,2
hsa-miR-583,2
hsa-miR-588,2
hsa-miR-592,2
hsa-miR-595,2
hsa-miR-597-5p,2
hsa-miR-604,2
hsa-miR-605-5p,2
hsa-miR-615-5p,2
hsa-miR-617,2
hsa-miR-619-3p,2
hsa-miR-620,2
hsa-miR-622,2
hsa-miR-626,2
hsa-miR-630,2
hsa-miR-631,2
hsa-miR-634,2
hsa-miR-635,2
hsa-miR-637,2
hsa-miR-641,2
hsa-miR-644a,2
hsa-miR-651-5p,2
hsa-miR-652-3p,2
hsa-miR-654-3p,2
hsa-miR-657,2
hsa-miR-663b,2
hsa-miR-670-5p,2
hsa-miR-758-3p,2
hsa-miR-760,2
hsa-miR-769-5p,2
hsa-miR-802,2
hsa-miR-877-3p,2
hsa-miR-888-5p,2
hsa-miR-890,2
hsa-miR-939-5p,2
hsa-miR-943,2
hsa-miR-96-5p,2
hsa-let-7b-5p,1
hsa-let-7d-5p,1
hsa-miR-100-3p,1
hsa-miR-100-5p,1
hsa-miR-101-5p,1
hsa-miR-103a-3p,1
hsa-miR-106a-3p,1
hsa-miR-10a-5p,1
hsa-miR-10b-5p,1
hsa-miR-1179,1
hsa-miR-1181,1
hsa-miR-1226-3p,1
hsa-miR-1234-3p,1
hsa-miR-1243,1
hsa-miR-1246,1
hsa-miR-1256,1
hsa-miR-1257,1
hsa-miR-1258,1
hsa-miR-125a-3p,1
hsa-miR-127-5p,1
hsa-miR-1273a,1
hsa-miR-1279,1
