"name","cluster"
"tRF-30-5Z2IUIX1Q7O6","2"
"tRF-30-86J8WPMN1E8Y","2"
"tRF-30-86V8WPMN1E8Y","2"
"tRF-30-D0B601WZ03O6","4"
"tRF-30-FN8DYDZDL9X1","2"
"tRF-30-INVDRI2Q2RJO","4"
"tRF-30-JMRPFQRDWXHR","2"
"tRF-30-MIF91SS2P46I","4"
"tRF-30-MIF91SS2P4FI","4"
"tRF-30-P4R8YP9LON4V","2"
"tRF-30-PSQP4PW3FJIK","2"
"tRF-30-PW5SVP9N15WV","2"
"tRF-30-RK9P4P9L5HMV","2"
"tRF-30-V47P596VW631","2"
"tRF-30-Z3M8ZLSSXUOL","4"
"tRF-31-389MV47P596VE","4"
"tRF-31-3JVIJMRPFQRDE","2"
"tRF-31-4PU3XOUZDZN1B","2"
"tRF-31-87R8WP9N1EWJ0","2"
"tRF-31-FN8DYDZDL9X1B","2"
"tRF-31-FP18LPMBQ4NKD","2"
"tRF-31-MIF91SS2P46ID","4"
"tRF-31-MUWLV47PU9XWE","6"
"tRF-31-P4R8YP9LON4VD","2"
"tRF-31-PW5SVP9N15WV0","4"
"tRF-31-R9JP9P9NH5SYD","2"
"tRF-31-S2I7L7P5QK11D","2"
"tRF-32-34HWH3RXSINHQ","4"
"tRF-32-36S0ZFHIUNWV2","4"
"tRF-32-389MV47P596V5","4"
"tRF-32-3JVIJMRPFQ5D5","4"
"tRF-32-3JVIJMRPFQRD5","4"
"tRF-32-5BF900BY4D84J","6"
"tRF-32-69M8LO9EFVI81","1"
"tRF-32-6SXMSL73VL4YK","2"
"tRF-32-79MP9P9MH57SJ","2"
"tRF-32-7P596VW631QJJ","2"
"tRF-32-86J8WPMN1E8YN","2"
"tRF-32-87R8WP9N1EWJM","2"
"tRF-32-897PVP941QKSJ","4"
"tRF-32-9M739P8WQ0D52","4"
"tRF-32-FP18LPMBQ4NKJ","2"
"tRF-32-M2OSRNLNKSEKL","4"
"tRF-32-MIF91SS2P46I3","4"
"tRF-32-MIF91SS2P4FI3","4"
"tRF-32-P4R8YP9LON4V3","2"
"tRF-32-PS5P4PW3FJHP1","2"
"tRF-32-PSQP4PW3FJI01","2"
"tRF-32-PSQP4PW3FJIK1","2"
"tRF-32-PW5SVP9N15WVN","2"
"tRF-32-Y2MJ8F81KLB52","4"
"tRF-32-Z3M8ZLSSXUOLJ","4"
"tRF-33-10I9BZBZOS4YV","2"
"tRF-33-389MV47P596V03","4"
"tRF-33-62Z6EXEY0VWUD2","4"
"tRF-33-6SXMSL73VL4YDN","2"
"tRF-33-79MP9P9MH57SD3","2"
"tRF-33-79MP9PMNH5ISD3","2"
"tRF-33-86J8WPMN1E8Y0E","2"
"tRF-33-86V8WPMN1E8Y0E","2"
"tRF-33-87R8WP9N1EWJDW","2"
"tRF-33-9LON4VN1EH6KDJ","2"
"tRF-33-FP18LPMBQ4NKDJ","2"
"tRF-33-I8W47W1R7HFEV","4"
"tRF-33-P4R8YP9LON4VDP","2"
"tRF-33-PS5P4PW3FJHPW","2"
"tRF-33-PSQP4PW3FJI0W","2"
"tRF-33-PSQP4PW3FJIKW","2"
"tRF-33-PW5SVP9N15WV0E","2"
"tRF-33-Q99P9P9NH57SD3","2"
"tRF-33-QKF1R3WE8RO8DX","4"
"tRF-33-RX6NMH490VL8DJ","2"
"tRF-33-Z3M8ZLSSXUOLD2","2"
"tRF-34-10I9BZBZOS4YE2","2"
"tRF-34-6SXMSL73VL4YHE","2"
"tRF-34-79MP9PMNH5IS15","2"
"tRF-34-87R8WP9N1EWJI5","2"
"tRF-34-9N1EWJQ72S3HIJ","2"
"tRF-34-I8W47W1R7HFEE2","2"
"tRF-34-L85DMKYUYRLHIX","4"
"tRF-34-P4R8YP9LON4VHM","4"
"tRF-34-PSQP4PW3FJI0E5","2"
"tRF-34-PSQP4PW3FJIKE5","2"
"tRF-34-PW5SVP9N15WV2P","4"
"tRF-34-Q1Q89P9L8422KJ","4"
"tRF-34-Q99P9P9NH57S15","4"
"tRF-34-R9J89O9NF5W8E5","4"
"tRF-34-R9JP9P9NH5SYHQ","2"
"tRF-34-S2I7L7P5QK111Y","4"
"tRF-34-XSXMSL73VL4YHE","6"
"tRF-35-6SXMSL73VL4YMY","4"
"tRF-35-73V2Y8L981PV6R","2"
"tRF-35-79MP9PMNH5IS36","3"
"tRF-35-87R8WP9N1EWJQ7","2"
"tRF-35-FSXMSL73VL4YMY","1"
"tRF-35-JYSWRYVMMV5BU6","4"
"tRF-35-P4R8YP9LON4VN1","4"
"tRF-35-PSQP4PW3FJI0E7","6"
"tRF-35-PSQP4PW3FJIKE7","2"
"tRF-35-PW5SVP9N15WV7W","2"
"tRF-35-Q1Q89P9L8422YR","2"
"tRF-35-S2I7L7P5QK11M3","4"
"tRF-35-SP5830MMUKLYM9","2"
"tRF-35-XSXMSL73VL4YMY","4"
"tRF-36-18YKISQI45LSM1D","2"
"tRF-36-6SXMSL73VL4YMYE","2"
"tRF-36-86J8WPMN1E8Y7ZD","2"
"tRF-36-86V8WPMN1E8Y7ZD","2"
"tRF-36-87R8WP9I1EWJQZD","4"
"tRF-36-87R8WP9N1EWJQ7D","2"
"tRF-36-897PVP941QKS3WD","2"
"tRF-36-897PVP9N1QKS3WD","6"
"tRF-36-D4ZWRNU3KQ9MV1B","2"
"tRF-36-IMLWRNLDK58YS1B","4"
"tRF-36-M2OSRNLNKSEK51B","2"
"tRF-36-PSQP4PW3FJIKE7E","4"
"tRF-36-R9JP9P9NH5SYNXD","6"
