,1_10115_88_S4,1_70008_mor_imp,10_40039_S11,10_90002_mor_det,11_10102_mor_det,11_40044_S12,12_20042_eve_det,12_40035_S13,13_10119_94_S14,13_90006_eve_det,14_10104_eve_det,14_40003_S15,15_40047_S16,15_Control_blood_9,16_10103_I1,16_Control_blood_11,17_10108_I2,17_Control_blood_12,18_10136_I3,18_Control_blood_13,19_10141_I4,19_Control_blood_14,2_10131_83_S5,2_40058_mor_imp,20_10155_I5,20_Control_blood_15,21_10181_I6,21_Control_blood_16,22_10100_D1,22_Control_blood_17,23_10116_D2,23_Control_blood_18,24_10145_D3,24_Control_blood_19,25_10146_D4,26_10156_D5,27_30057_D6,3_10166_mor_imp,3_10189_45_S6,4_10177_eve_imp,4_90003_S7,5_10171_eve_imp,5_40026_S8,6_30065_S9,6_40049_eve_imp,7_30040_mor_det,8_60004_mor_det,9_30053_mor_det,9_30074_50_S10
tRF-29-R7F8YKIR9NK2,,,,1,,,2,,,,1,,,8,,44,,9,,13,,7,,1,,7,,5,,9,,11,,16,,,,2,,3,,1,,,3,1,5,,
tRF-29-R8WP9N1EWJI5,1,,,,,,,3,1,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,3,,,,,2
tRF-29-ROPLQVNRDF2P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
tRF-29-RPD9W1X6L8HY,,10,,13,6,,10,,,5,9,,,7,,35,,12,,19,1,14,,7,,11,,20,,16,,28,1,22,,,,4,,11,,3,,,15,4,3,7,
tRF-29-RRJ89O9NF5JP,1,,2,,,1,,,1,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,3,,2,1,,,,,2
tRF-29-RUSMKVNMEHIS,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-29-RWD8YJE76IKL,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-29-RX6NMH490V18,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-29-RXSINHZ4PVEU,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-29-SER6PIN24YED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
tRF-29-SERXPIN24YED,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
tRF-29-SRI3SERXPIH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-29-SYERFMF0QV2N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
tRF-29-U47P299DWUFJ,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
tRF-29-U5XBINVDRIFU,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,
tRF-29-UJJKIWRNL312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-29-V29K9UV365IS,1,,1,,,9,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,3,,3,,,,,,
tRF-29-V47P596VW61M,1,,1,,,,,2,3,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,2,,,,,1
tRF-29-V6Z3M8ZLSSJ8,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,2,,,,,
tRF-29-V8WPMN1E8Y2Q,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-29-VH7P59N3Z612,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
tRF-29-VIJMRPFQJDKQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
tRF-29-VIPZK0JNORIZ,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,
tRF-29-W47W1R7HFEE2,,,2,,,1,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,
tRF-29-W4R951KHZK1V,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
tRF-29-WHR95R3LMJFV,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-29-WIR959MIL0HV,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-29-WIR9OMMIL0HV,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-29-WJ9X0UD39425,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-29-WNR71KVUY92E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
tRF-29-WP9N1EWJQ7FV,4,,6,,,1,,5,9,,,2,5,,,,,,,,,,4,,,,,,,,,,,,,,,,5,,8,,6,2,,,,,15
tRF-29-WPMN1E8Y7ZFV,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
tRF-29-XBDMI2669KK4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
tRF-29-XENDBP1IUU1J,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,3,,,,,
tRF-29-XIK2821IQ4KK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
tRF-29-XSXMSL73VLH3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,1
tRF-29-Y0IJFJ33DS1B,,,,2,1,,1,,,,,,,,,,,1,,1,,2,,,,2,,,,2,,,,,,,,,,1,,,,,,,1,,
tRF-29-Y7RZ81JJ6RIZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
tRF-29-Y8L981PV6RIZ,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,
tRF-29-Y9PYKHM26RIZ,2,,2,,,2,,3,7,,,2,1,,,,,,,,,,1,,,,,,,1,,,,,,,,1,7,,5,,2,1,,,,,4
tRF-29-YQHQ9M739PJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
tRF-29-Z3M8ZLSSXUH7,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
tRF-29-Z3R9512R121V,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-29-ZEVKXZFYYD2S,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-29-ZJ47D112Z42E,,,,,,,,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,,,2
tRF-29-ZQSJY189BJEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
tRF-29-ZRS3S3R68HKK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,
tRF-29-ZRS3SJRX8FKK,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-29-ZUNF56FK872E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
tRF-30-00BY4D84KRIM,,,,,,20,,1,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,7,,2,,7,2,,,,,1
tRF-30-04SXQ3V2Y7RZ,,1,,,3,,1,,1,,,,,4,,11,1,1,,2,,5,,1,,3,,4,,8,,10,,5,,,,2,,1,,1,,,2,1,,,
tRF-30-08F4BDNZ8O6F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
tRF-30-0VL8K87SIRMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
tRF-30-12Z4R95MKM9K,,2,,1,1,,1,,,,,,,1,,1,,1,,,,1,,,,1,,,,,,,,2,,3,,1,,1,,,,,1,,1,5,
tRF-30-18VBY9P9KHM2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-18VBY9PYKHM2,,2,,4,4,,4,,,2,8,,,8,,11,1,3,,5,,10,,4,,2,,4,1,4,,8,,3,,,,1,,2,,2,,,3,3,2,5,
tRF-30-18WO6V9EYK46,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-18X3HRL7S5QK,,,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,1,,,,,2,,,,
tRF-30-18Y3E7QN7JLP,,,,,,,,,,,,,,1,,2,,2,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,
tRF-30-18YKISQI45LS,,1,,5,1,,1,,,,1,,,,,4,,,,1,,1,,1,,2,,,,3,,5,,1,1,,1,,,1,,3,,,1,1,2,1,
tRF-30-1E6SF8WO6VXW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-30-1E8Y7Z2R14PS,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-30-1E8Y7Z2R1HPS,,1,,,,,,,,1,1,,,2,,,,,,,,,,,1,,,1,,,,2,,1,,1,,,,1,,1,,,1,,,,
tRF-30-1ER37E14PH5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,
tRF-30-1EWJQ72S3HPS,,,,4,,,2,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,
tRF-30-1F8J4S5IR2Z4,,1,,1,,,3,,,1,2,,,2,,,,,,2,,,,1,,2,,,,2,,1,,,,,,,,2,,1,,,,,1,1,
tRF-30-1FZJ47D112Z4,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
tRF-30-1HPSR9O9337K,1,,,,,,,,,,,,,,,,,,,,2,1,,,2,,2,,1,,1,,2,,,1,,,,,,,,,,,,,
tRF-30-1HWUNS56O2Z0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-30-1IMYSXR3IEWS,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-1KSLQ673FJIY,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-30-1MN0YU09FKRF,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-1MQKYU8RSH66,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-1NR8YUP6KP6H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
tRF-30-1OHE10NO0RNQ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-1PSJQM17JOWU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
tRF-30-1SS2P46INO86,,,,1,1,,2,,,3,2,,,5,,4,,1,,2,,,,1,,,,1,,3,,3,,,,,,1,,1,,1,,,1,1,,1,
tRF-30-1SS2P4FINOW6,,2,,,,,,,,1,1,,,,,2,,,,,,1,,,1,,1,,,,,1,,,,,,,,,,,,,1,,,,
tRF-30-1SS2PMFIZOWU,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-1YIPRVYJ9XEO,,1,,5,6,,1,,,,3,,,1,,2,,,,6,,5,,2,,4,,2,,5,,4,,,,,1,4,,4,,,,,,2,,4,
tRF-30-202L2YBE7XO8,,,,,6,,1,,,1,1,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,1,,,,,,,
tRF-30-22EVUIJVK697,,,,,,4,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,6,,7,,,,,,
tRF-30-245PLQ9DYXI6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-247383RPD9W1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-28FEZ8I7JKIK,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-299DWUH6QE30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-30-2L2YBE7XO8Q6,,3,2,4,9,,2,,,1,2,,,4,,2,,2,,1,,2,,1,,,,4,,,,,,1,,,,1,1,,,,2,,3,2,4,3,
tRF-30-2OOIQO4QPRJW,,1,,,2,,2,,,1,,,,1,,,,,,1,,1,,,,4,,,,1,,,,,,,,1,,5,,,,,,1,1,,
tRF-30-2QR7F8YKIR9N,,,,1,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,2,,,,,,,,,,1,,,,,,,
tRF-30-2S3FPSR95933,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-2S3HPSR95933,,6,,3,5,,12,,,4,22,,,9,1,21,,5,1,13,,21,,5,,2,,10,,6,,26,,7,,,,6,,5,,1,,,24,3,16,16,
tRF-30-2VR008R959KU,,7,,3,1,,1,,,1,1,,,2,,3,2,3,1,2,,7,1,4,,3,,6,,4,,,1,3,,,,3,,2,,1,,,3,2,4,5,3
tRF-30-2VR008R9D9KU,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,3,,,,,,,,1,,1,,,,,,2,
tRF-30-2YBE7XO8Q6J6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-30-2YU04DYJIO3Z,,,,,,,,,,,1,,,4,1,4,,7,,4,1,5,,,,4,,5,,6,,4,,2,2,,,,,,,1,,,,,,2,
tRF-30-31QJ3KYUYRR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,2,
tRF-30-34HWH3RXSINH,1,1,1,,3,,,,2,1,2,1,3,13,,48,,16,2,11,1,9,,1,,10,1,17,,7,,27,,13,,,,,5,1,1,1,,3,3,1,1,10,1
tRF-30-36DFHFNBDWY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-30-389MV47P596V,1,,6,,,1,,5,6,,,6,2,,,,,,,,,,4,,,,,,,,,,,,,,,,6,,9,,3,3,,,,,10
tRF-30-38MMV47P596V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
tRF-30-38Z90668K87S,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
tRF-30-395P4PN3FJ6K,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-3HPSR95933JK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
tRF-30-3IRW18V6XO59,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-3JVIJMRPFQ5D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
tRF-30-3JVIJMRPFQRD,,,1,,,,,1,2,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1
tRF-30-3XRSN3WE884U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-30-409Z7KZOSRI8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
tRF-30-40KK5Y93W086,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-30-45DBNIB9I1KQ,,,,,,,,,,,,,,,,,,2,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,
tRF-30-45LSM1M3WE8S,,3,,,,,2,,,1,,,,,,3,,1,,1,,4,,3,,3,,2,,4,,2,1,1,,,,,,3,,1,,,1,2,1,1,
tRF-30-46SQYU9H93WB,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-47202L2YBE7X,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-4JRX6N38Z906,,,,,,,,,,,,,,,1,1,2,1,,2,1,,,,4,1,1,1,,,2,,1,,2,1,,,,,,,,,,,,1,
tRF-30-4KIK74HK9FM0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-4O77R73290Q4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-4O77R7KE6KM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-30-4R94SX73V2Y8,,1,,8,1,,,,,,7,,,1,,5,,1,,1,,6,,,,,,2,,3,,2,,4,,,,,,1,,2,,,2,1,2,5,
tRF-30-4W9MVKS4I7MN,,,,,,,,1,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,1,,,,,,,,
tRF-30-4Y9H2MRXQHY8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
tRF-30-596VW631QJ3K,1,,,,,,1,,,,1,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,1,,,
tRF-30-59N3Z6KPQJ3K,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-5BF900BY4D84,,13,,33,83,,61,,,36,30,,,19,1,4,1,17,1,80,,43,,29,2,43,1,42,,47,,14,,14,,3,,53,,88,,29,,,17,23,25,32,
tRF-30-5DMKYUYRLHR0,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
tRF-30-5K8PR9DM3WWK,,2,,1,1,,1,,,1,,,,6,,1,,6,,,,1,,,,3,,2,1,2,,1,,,,,,1,,1,,,,,2,1,,1,
tRF-30-5L8RPY8HM2OS,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-30-5O65918XF6RE,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-5O6Q918XF6RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
tRF-30-5O6QJ188FYRE,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-5P4PW3FJHPEZ,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,
tRF-30-5XR4NPNNBX1W,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
tRF-30-5Z2IUIX1Q7O6,,6,4,2,6,,1,1,1,,3,,,3,6,8,3,2,,3,1,7,1,2,2,5,1,5,3,6,2,3,3,6,1,6,2,3,1,1,1,8,2,,,1,,1,1
tRF-30-60MV9JKL0653,,,,,,,,,,,,,,,,1,,1,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,
tRF-30-623K7SIR3DR2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
tRF-30-62DI2OOIQO4Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-30-64PU73UKMYOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
tRF-30-68K87SERM492,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-6978WP9LXN4V,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,
tRF-30-6978WPRLXN48,3,725,,737,615,,564,3,,652,799,1,1,1175,3,843,4,631,4,1462,10,1435,2,491,8,210,4,1711,2,1633,8,954,2,531,7,1,,531,2,875,2,701,1,,414,479,842,480,
tRF-30-6998LO9EFVI8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
tRF-30-69M8LO9EFVI8,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,
tRF-30-6J9KIWRNL3KQ,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-6L1F8J4S5IR2,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
tRF-30-6L1FZJ47D112,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
tRF-30-6LQ6S8V0J6OZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
tRF-30-6N38Z90668K8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,
tRF-30-6NMH490VL8K8,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
tRF-30-6NVJ8P8NWE6W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-30-6QJ188FYRE98,,1,,,1,,,,,1,,,,,,,,,,2,,,,,,,,,,1,,1,,1,,,,,,,,1,,,1,,2,,
tRF-30-6QR47673FEWS,,,,,,,,2,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,
tRF-30-6RJ89O9NF5W8,,,,,,,1,,,,,,,,,,1,,1,,,,,,,1,1,,,1,,,,,,1,1,,,,,1,,,,,,,
tRF-30-6VB8VHM7O9JE,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
tRF-30-735L8RPY8HM2,,,,,,,,,,,,,,,1,,1,,1,,3,,,,2,,1,1,,,,,,,,,,,,,,,,,1,,,,
tRF-30-73FEWS3V2VR0,,5,,7,6,,10,,,6,3,,,12,1,20,1,8,,10,,15,,5,,4,,6,,4,1,13,,19,,1,2,5,,5,,4,,,10,5,9,3,
tRF-30-73VL4YMY91PJ,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-73VL8RPY8HM2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-767UXP18RZXP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-78WPRLXN48Z8,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-79MP9P9MH57S,,1,,2,2,,1,,,,5,,,2,2,9,1,10,2,,,6,,1,,6,,6,,5,,7,,6,,2,1,2,,3,,1,,,4,,2,4,
tRF-30-79MP9P9NH57Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-30-79MP9PMNH5IS,,,,1,,,1,,,1,2,,,2,1,6,,2,,2,,2,,,,1,,2,,3,,,,3,,,,1,,,,2,,,1,,,,
tRF-30-7EMQ18Y3E7QN,,,,1,,,1,,,,,,,1,,3,,2,,1,1,,,,,1,,3,,,,1,,2,,,,,,,,,,,,1,,,
tRF-30-7IQ5U4KKSURZ,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-7IR1JOKP1M58,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-7IVI7O409Z7K,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
tRF-30-7J3KYU4RRQRB,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-7J4E6L1HWUYS,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-30-7JL3R7DJQ8IX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-30-7JLJR7DJQ8IX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
tRF-30-7LI3VF4YO9XE,,1,,2,1,,1,,,,2,,,,3,8,2,4,1,9,2,3,,,5,5,2,1,,2,1,4,1,4,1,2,1,6,,3,,,,,,1,2,,
tRF-30-7LI3VF4YOZXE,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
tRF-30-7O58J0K8UMPL,,1,1,1,10,,6,,,2,1,,,8,,7,,18,1,18,2,14,,3,2,21,3,17,,20,,7,,5,,2,,2,,4,,4,1,,6,1,3,5,
tRF-30-7UXP18RZXP8Z,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-30-7UYK7IVI7O40,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,
tRF-30-7X9PN547202L,,1,,2,3,,2,,,3,1,1,,1,,,,1,,1,,1,,2,,1,,1,,1,,1,,,1,,,1,,1,,1,,,,,3,,
tRF-30-7Z8L8NRS9NS3,,1,,,,,,,,,,,,,,,,1,,,,1,,,1,1,,,,,,1,,,,,,,,1,,,,,,,2,,
tRF-30-81PV6RRNLNK8,,1,,,,,2,,,1,,,,,,4,,,,1,,1,,,,1,,2,,2,,3,,1,,,,3,,,,2,,,2,,3,,
tRF-30-821IQ4YUH5S8,,1,,,,,2,,,1,,,,3,,2,,,,1,,3,,4,,,,,,,,,,1,,,,,,1,,5,,,2,1,1,2,
tRF-30-821NQ4YOH5S8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,
tRF-30-83RPD9W1X6L8,,1,,1,1,,2,,,,4,,,3,,8,1,1,1,2,1,,,3,,3,2,3,1,1,4,1,,8,,,1,2,,1,,2,,,3,2,3,1,
tRF-30-83RPFVIIZFMQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
tRF-30-8422YRI7XUK8,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tRF-30-86J8WPMN1E8Y,6,,5,,,,,7,4,,,10,6,,,,,,,,,,9,,,,,,,,,,,,,,,,14,,6,,4,12,,,,,1
