,1_10115_88_S4,1_70008_mor_imp,10_40039_S11,10_90002_mor_det,11_10102_mor_det,11_40044_S12,12_20042_eve_det,12_40035_S13,13_10119_94_S14,13_90006_eve_det,14_10104_eve_det,14_40003_S15,15_40047_S16,15_Control_blood_9,16_10103_I1,16_Control_blood_11,17_10108_I2,17_Control_blood_12,18_10136_I3,18_Control_blood_13,19_10141_I4,19_Control_blood_14,2_10131_83_S5,2_40058_mor_imp,20_10155_I5,20_Control_blood_15,21_10181_I6,21_Control_blood_16,22_10100_D1,22_Control_blood_17,23_10116_D2,23_Control_blood_18,24_10145_D3,24_Control_blood_19,25_10146_D4,26_10156_D5,27_30057_D6,3_10166_mor_imp,3_10189_45_S6,4_10177_eve_imp,4_90003_S7,5_10171_eve_imp,5_40026_S8,6_30065_S9,6_40049_eve_imp,7_30040_mor_det,8_60004_mor_det,9_30053_mor_det,9_30074_50_S10
tRF-16-8871K9D,3,17,6,13,9,,20,14,10,8,25,2,12,11,4,18,10,14,4,15,2,41,7,8,4,5,3,9,4,12,7,20,2,18,6,6,8,11,2,12,5,5,3,2,19,3,9,7,8
tRF-16-88I26W0,,1,1,,,,1,,1,,,1,1,1,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,1,,1,,
tRF-16-89Q867D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-16-8B8871D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-16-8B8HWK0,,,2,1,2,,,,1,,,,1,1,,,,,,1,,1,,,,,,1,,,,,,1,,,,,,,1,1,1,,1,,,1,1
tRF-16-8B8SOU0,5,7,11,4,7,1,11,11,7,5,3,3,3,15,8,10,1,24,1,13,3,10,2,3,1,9,4,8,2,20,,10,2,7,2,,4,7,14,8,2,13,3,6,2,8,3,3,2
tRF-16-8BR9M3E,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
tRF-16-8BWS72B,,1,1,,,,,,,,,,,2,,4,,3,,1,,,,,,1,,3,,,,2,,1,,,,,,1,,,,,1,,,,
tRF-16-8BWS73B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-8EKSPME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,
tRF-16-8FLUD3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,
tRF-16-8KWFS9D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
tRF-16-8NWE6W0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-8R6546D,40,60,33,60,72,5,136,46,61,66,138,35,34,40,18,57,16,14,18,60,26,69,14,42,23,14,23,57,9,60,28,118,22,39,21,10,10,56,46,77,36,100,43,39,78,47,123,84,54
tRF-16-8RQFR90,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
