"","cells","file","batch"
"335","whole blood","SRR5756147",5
"336","whole blood","SRR5756148",5
"337","whole blood","SRR5756149",5
"338","whole blood","SRR5756150",5
"339","whole blood","SRR5756151",5
"340","whole blood","SRR5756152",5
"341","whole blood","SRR5756153",5
"342","whole blood","SRR5756154",5
"343","whole blood","SRR5756155",5
"344","whole blood","SRR5756156",5
"345","whole blood","SRR5756157",5
"346","whole blood","SRR5756158",5
"347","whole blood","SRR5756159",5
"348","whole blood","SRR5756160",5
"349","whole blood","SRR5756161",5
"350","whole blood","SRR5756162",5
"351","whole blood","SRR5756163",5
"352","whole blood","SRR5756164",5
"353","whole blood","SRR5756165",5
"354","whole blood","SRR5756166",5
"355","whole blood","SRR5756167",5
"356","whole blood","SRR5756168",5
"357","whole blood","SRR5756169",5
"358","whole blood","SRR5756170",5
"359","whole blood","SRR5756171",5
"360","whole blood","SRR5756172",5
"361","whole blood","SRR5756173",5
"362","whole blood","SRR5756174",5
"363","whole blood","SRR5756175",5
"364","whole blood","SRR5756176",5
"365","whole blood","SRR5756177",5
"366","whole blood","SRR5756178",5
"367","whole blood","SRR5756179",5
"368","whole blood","SRR5756180",5
"369","whole blood","SRR5756181",5
"370","whole blood","SRR5756182",5
"371","whole blood","SRR5756183",5
"372","whole blood","SRR5756184",5
"373","whole blood","SRR5756185",5
"374","whole blood","SRR5756186",5
"375","exosomes","SRR5756187",5
"376","serum","SRR5756188",5
"377","exosomes","SRR5756189",5
"378","serum","SRR5756190",5
"379","exosomes","SRR5756191",5
"380","serum","SRR5756192",5
"381","exosomes","SRR5756193",5
"382","serum","SRR5756194",5
"383","exosomes","SRR5756195",5
"384","serum","SRR5756196",5
"385","exosomes","SRR5756197",5
"386","serum","SRR5756198",5
"387","exosomes","SRR5756199",5
"388","serum","SRR5756200",5
"389","exosomes","SRR5756201",5
"390","serum","SRR5756202",5
"391","exosomes","SRR5756203",5
"392","serum","SRR5756204",5
"393","exosomes","SRR5756205",5
"394","serum","SRR5756206",5
"395","exosomes","SRR5756207",5
"396","serum","SRR5756208",5
"397","exosomes","SRR5756209",5
"398","serum","SRR5756210",5
"399","exosomes","SRR5756211",5
"400","serum","SRR5756212",5
"401","exosomes","SRR5756213",5
"402","serum","SRR5756214",5
"403","exosomes","SRR5756215",5
"404","serum","SRR5756216",5
"405","exosomes","SRR5756217",5
"406","serum","SRR5756218",5
"407","exosomes","SRR5756219",5
"408","serum","SRR5756220",5
"409","exosomes","SRR5756221",5
"410","serum","SRR5756222",5
"411","exosomes","SRR5756223",5
"412","serum","SRR5756224",5
"413","exosomes","SRR5756225",5
"414","serum","SRR5756226",5
"415","exosomes","SRR5756227",5
"416","serum","SRR5756228",5
"417","exosomes","SRR5756229",5
"418","serum","SRR5756230",5
"419","exosomes","SRR5756231",5
"420","serum","SRR5756232",5
"421","exosomes","SRR5756233",5
"422","serum","SRR5756234",5
"423","exosomes","SRR5756235",5
"424","serum","SRR5756236",5
"425","exosomes","SRR5756237",5
"426","serum","SRR5756238",5
"427","exosomes","SRR5756239",5
"428","serum","SRR5756240",5
"429","exosomes","SRR5756241",5
"430","serum","SRR5756242",5
"431","exosomes","SRR5756243",5
"432","serum","SRR5756244",5
"433","exosomes","SRR5756245",5
"434","serum","SRR5756246",5
"435","exosomes","SRR5756247",5
"436","serum","SRR5756248",5
"437","exosomes","SRR5756249",5
"438","serum","SRR5756250",5
"439","exosomes","SRR5756251",5
"440","serum","SRR5756252",5
"441","exosomes","SRR5756253",5
"442","serum","SRR5756254",5
"443","exosomes","SRR5756255",5
"444","exosomes","SRR5756256",5
"445","exosomes","SRR5756257",5
"446","exosomes","SRR5756258",5
"447","serum","SRR5756259",5
"448","serum","SRR5756260",5
"449","serum","SRR5756261",5
"450","serum","SRR5756262",5
